AlbumId,ArtistId,Optional GenreId
0,None,214765
6,228091,158282
19,85028,103715
30,16832,31567
33,26330,149962
37,None,61215
74,197882,201738
78,163140,208198
82,110657,116130
93,151090,208198
96,147621,173467
103,None,
107,17678,61215
110,202437,27110
118,None,
119,None,
121,None,
125,253380,61215
132,None,
143,15942,33722
144,204869,158282
146,294875,199606
149,None,61215
158,270655,131552
165,5377,214765
173,141866,131552
180,161216,145948
189,None,289568
197,103010,61215
200,255586,131552
201,199322,67098
205,12607,61215
241,135431,158282
244,106388,173467
246,223679,147886
252,155618,61215
254,43797,35389
264,97420,198263
266,232588,244713
267,237956,158282
277,110324,158282
285,178617,61215
290,39943,214765
299,172223,61215
303,143622,131552
304,274339,18161
313,121889,274088
322,237708,147886
329,183577,214765
339,48073,287681
342,157933,131552
344,None,61215
346,270323,35389
347,48967,61215
353,282169,208198
355,149749,211809
356,187518,61215
359,277350,88853
360,262766,33722
362,None,
368,46240,155788
371,269166,274161
373,10223,61215
384,3953,61215
385,None,266781
394,57179,208198
412,210466,208198
418,14175,172023
428,66676,131552
434,None,259280
438,57228,159815
439,289662,103715
441,91650,158282
443,None,88853
444,112451,256783
445,292756,17453
452,171914,34486
456,40804,35389
474,237574,208198
476,288933,61215
479,269110,155264
496,250382,158282
499,83487,131552
507,115732,268304
508,100987,158282
512,127895,61215
516,69014,158282
521,None,131552
525,None,131552
528,291812,33722
530,295120,214765
542,161583,214765
546,280569,77904
561,100955,61215
580,199204,61215
583,27818,158282
590,70616,17453
594,99218,173467
599,None,
612,264865,173467
620,122876,77904
621,None,48505
624,64933,33722
626,228091,158282
636,65499,155264
646,231102,172023
648,256310,131552
655,12301,17453
660,128447,158282
662,43767,35389
665,276530,173467
668,193891,172023
671,238709,103715
672,89507,61215
674,179694,131552
681,138216,208198
682,286938,173467
684,170825,33722
686,281785,131552
687,124538,198263
689,156213,158282
692,233685,131552
694,132469,233591
698,68910,61215
706,196289,131552
710,86523,201738
713,34069,61215
730,274479,208198
736,153568,158282
740,189604,158282
742,215920,33722
744,24389,287681
745,130264,176858
749,162885,158282
752,146093,61215
753,135746,131552
754,236903,131552
755,189015,131552
756,213030,61215
762,272438,150385
766,144802,61215
771,None,61215
779,23653,172023
802,13832,131552
811,253380,61215
823,263065,198263
829,39075,172023
831,190543,61215
835,294690,61215
839,31321,61215
840,263458,158282
842,9282,244713
847,196502,131552
849,235140,274161
852,237418,131552
855,129147,61215
865,81524,61215
873,210805,61215
879,178994,131552
892,110438,131552
898,250370,196528
902,None,
904,172223,61215
910,128345,198263
923,211833,
925,72123,287681
930,82300,214765
936,216527,214765
940,None,173655
942,153603,35389
944,202001,287681
947,269857,131552
950,145033,33722
955,292587,158282
960,25211,182697
964,None,61215
969,237418,131552
975,165176,61215
980,None,155264
983,278234,17453
997,61339,17453
1009,78745,287681
1010,118201,173467
1013,211082,61215
1020,85755,158282
1038,39540,266781
1045,20829,271945
1050,None,131552
1058,287887,173467
1070,186907,224280
1073,182285,61215
1076,20464,158282
1094,282870,198263
1097,None,208198
1106,237956,158282
1118,124724,61215
1121,114790,173467
1125,15246,61215
1132,263927,287681
1150,None,
1153,28685,
1157,92919,61215
1163,264595,
1165,81524,61215
1169,None,61215
1171,139023,33722
1178,232117,259280
1190,246477,268304
1191,210173,88853
1196,73848,82378
1202,24814,61215
1204,167593,198263
1208,191782,147886
1226,92928,198263
1247,236546,131552
1252,269857,131552
1254,148718,61215
1262,206384,131552
1265,83446,274088
1268,215115,61215
1275,22697,61215
1279,89507,61215
1294,266129,61215
1301,109995,176858
1305,260778,99415
1308,257019,131552
1320,151918,155264
1324,172223,61215
1331,79840,259280
1332,247955,61215
1352,251343,287681
1358,42296,88853
1360,165949,131552
1362,None,61215
1368,237418,131552
1380,202697,214765
1389,209069,61215
1392,114874,33722
1411,234487,189467
1413,None,
1416,119996,158282
1422,236341,131552
1425,270867,176858
1439,120692,230141
1443,12935,214765
1446,106765,34486
1449,201811,199606
1461,204824,131552
1467,179408,158282
1475,105365,131552
1476,270557,158282
1482,37912,
1487,None,214765
1489,274799,279143
1493,123649,
1496,49557,34486
1512,14848,17453
1513,1349,61215
1522,84092,34486
1529,273730,
1533,90627,279143
1536,268851,34486
1537,41547,173467
1543,277464,131552
1550,115386,18161
1552,17384,61215
1553,54788,173467
1554,13832,131552
1563,266361,241089
1565,1997,131552
1567,None,61215
1570,7454,287681
1573,27348,131552
1580,8903,17453
1584,163342,61215
1588,10223,61215
1593,None,274088
1596,17206,199606
1600,30017,158282
1604,105112,224280
1606,182895,33722
1609,278719,172023
1612,275191,158282
1614,71438,172023
1615,92483,9667
1624,159262,145948
1628,225630,88853
1629,163984,33722
1637,70201,287681
1641,250941,174731
1648,144802,61215
1652,199204,61215
1661,11735,214765
1667,148241,33722
1668,85981,287681
1670,113720,34486
1675,294545,33722
1677,51633,147886
1695,72279,147886
1697,96718,61215
1705,276506,61215
1708,183921,61215
1716,180868,33722
1723,96379,35389
1728,143022,172023
1755,196404,33722
1757,263815,61215
1759,139659,158282
1771,None,110478
1778,151848,61215
1800,79840,259280
1823,252290,158282
1847,129938,208198
1849,180298,287681
1851,201319,61215
1857,290636,287681
1867,105095,163949
1868,83065,158282
1871,88016,126500
1875,201916,172023
1878,287887,173467
1883,185698,224280
1893,110497,287681
1896,None,31567
1906,136993,163949
1925,207809,224280
1932,231613,158282
1934,None,131552
1939,228477,199606
1943,181218,176858
1944,28957,201738
1947,250900,199606
1948,93804,33722
1961,103665,61215
1962,48800,214765
1970,231934,158282
1976,28341,131552
1977,247955,131552
1989,186054,
1994,293038,214765
2005,187518,61215
2009,277406,61215
2016,252026,82064
2021,136609,208198
2028,12920,176858
2041,49167,79926
2049,199281,279143
2050,82695,224280
2052,10204,
2060,75016,158282
2063,123470,274088
2067,281874,34486
2069,42563,139095
2075,194960,77904
2076,283898,
2108,23798,33722
2111,293119,131552
2130,219929,61215
2135,None,287681
2148,252307,61215
2162,19753,61215
2171,112039,149962
2173,286938,173467
2174,287216,
2175,63110,208198
2184,254137,155264
2187,221404,181653
2196,114039,196528
2203,86068,275144
2207,None,61215
2208,222273,158282
2211,49866,61215
2212,93024,121489
2227,269166,274161
2228,270323,35389
2234,286156,
2235,187927,172023
2246,120618,61215
2251,27290,133159
2255,224444,158282
2257,231613,158282
2266,286202,61215
2274,55754,182697
2281,257577,173655
2282,None,131552
2289,None,
2294,70850,61215
2296,165804,275144
2310,241171,88853
2313,28673,35389
2336,158236,131552
2348,274999,61215
2354,None,35389
2358,39540,75691
2366,140011,77904
2371,199204,61215
2372,270804,146792
2381,87439,33722
2387,279988,131552
2388,None,47898
2391,200551,146792
2392,280954,131552
2401,284397,224280
2406,147608,287681
2407,115386,18161
2408,None,61215
2409,247963,182697
2414,66709,9432
2415,75812,209270
2422,117768,182697
2423,24208,61215
2426,39540,75691
2436,142161,161601
2440,287887,173467
2446,288933,61215
2447,73250,61215
2450,249359,61215
2465,91211,34486
2467,37015,173467
2476,235368,124579
2485,225747,35389
2486,77024,149962
2496,39540,17453
2505,59045,
2506,273176,173467
2513,219924,147886
2519,212235,34486
2523,36688,176858
2525,None,
2526,115386,18161
2527,287999,158282
2533,168169,287681
2539,266245,274088
2541,231613,158282
2543,133835,131552
2545,69334,61215
2546,178172,201738
2547,135061,61215
2549,231613,158282
2551,153013,33722
2552,144802,61215
2553,10223,61215
2561,12952,138875
2564,33263,173467
2566,227273,33722
2575,163185,48505
2583,103619,
2596,None,279143
2618,10223,61215
2619,73250,61215
2651,237647,214765
2654,98144,172023
2655,76283,208198
2662,76040,176858
2668,177488,131552
2672,124844,199606
2677,265467,208198
2685,270804,131552
2688,182023,158282
2691,148902,287681
2706,172223,61215
2713,151848,61215
2718,18131,131552
2724,7539,173467
2728,91041,158282
2734,66261,214765
2735,184669,35389
2736,245217,61215
2741,235383,
2743,235039,199606
2752,35288,158282
2761,116806,131552
2784,54960,211809
2785,218424,33204
2787,284912,271945
2788,168956,274161
2790,204556,34486
2796,232716,287681
2802,134222,172023
2805,226998,214765
2806,190694,33204
2809,69042,158282
2819,None,61215
2820,830,34486
2823,23717,35389
2840,None,48717
2849,None,
2863,246667,158282
2865,235140,274161
2875,None,
2881,269411,
2892,35315,
2910,83537,158282
2915,12920,176858
2925,266352,173467
2953,159512,158282
2961,197011,173467
2966,27558,172023
2967,None,
2969,145129,149962
2973,37370,173467
2979,76088,173467
2983,None,34486
2989,82316,126500
2992,64811,287681
3003,12920,176858
3006,132285,274161
3013,122736,158282
3015,3296,17453
3019,244384,61215
3021,229675,278302
3025,99059,214765
3030,144318,158282
3031,None,162234
3056,59959,214765
3064,84211,18161
3068,103848,214765
3073,28341,131552
3075,268797,
3076,91396,131552
3097,195962,176858
3104,188752,208198
3105,41083,200901
3107,195555,176858
3108,210281,287681
3110,210805,61215
3112,136942,199606
3114,85921,61215
3130,139234,131552
3133,166141,34486
3137,46975,285888
3140,263484,199606
3147,113820,176858
3148,221980,274161
3149,111450,173467
3151,None,61215
3156,10636,98687
3164,191478,274161
3165,None,
3167,166405,172023
3170,14836,199606
3174,88548,33722
3182,180007,61215
3185,85768,33722
3190,36688,176858
3194,79840,75691
3200,35603,33722
3208,160961,199606
3212,139760,
3223,247660,126500
3227,107674,61215
3231,None,
3238,87833,34486
3245,288449,61215
3247,36230,182697
3252,None,198263
3257,176200,131552
3259,92231,198263
3285,207470,17453
3288,64700,274161
3290,140908,208198
3300,237425,158282
3322,70201,287681
3325,None,33722
3330,187229,173467
3331,25481,77904
3336,3600,173467
3343,28218,61215
3362,94360,259280
3365,193954,116130
3366,247955,131552
3367,199369,198263
3370,85155,172023
3371,None,208198
3377,68733,173467
3378,11975,61215
3382,165601,51420
3383,12920,176858
3396,181168,172023
3402,271604,34486
3403,70512,33204
3404,104895,147886
3412,12920,176858
3435,210805,61215
3437,202778,77904
3442,89507,61215
3460,294690,61215
3462,150884,35389
3467,72371,61215
3468,139574,199606
3469,186669,17453
3483,254157,61215
3484,82536,208198
3487,110385,61215
3494,115177,131552
3500,89507,61215
3507,57154,123844
3520,114027,51420
3525,273176,173467
3526,278420,
3530,None,200632
3540,None,198263
3545,121537,61215
3549,173564,34486
3552,73606,131624
3567,72789,214765
3591,None,131552
3598,139500,158282
3609,207820,
3614,72426,259280
3627,None,131552
3631,170225,131552
3637,76283,48505
3638,73606,131624
3639,40999,208198
3642,126978,199606
3643,188250,33722
3644,100355,61215
3645,136609,208198
3647,73848,173467
3653,279967,61215
3666,75960,77904
3672,236765,33722
3685,8653,34486
3689,24814,199606
3691,21374,158282
3712,109987,61215
3717,108604,208198
3724,64052,158282
3729,178994,131552
3732,292284,131552
3754,138869,173467
3768,79077,17453
3783,279967,61215
3790,41507,61215
3793,254031,214765
3806,None,75691
3811,11616,131552
3826,274697,230141
3828,84779,181653
3838,211893,287681
3840,43962,158282
3841,17314,
3843,26467,91653
3845,97290,214765
3861,170825,61215
3865,88518,172023
3870,196502,131552
3871,157933,131552
3879,32099,126500
3892,None,
3901,None,176858
3906,None,
3910,35081,35389
3911,255517,88853
3914,21184,162234
3918,13020,131552
3920,179694,131552
3921,199838,274161
3928,127690,208198
3929,36688,176858
3931,156713,61215
3944,106595,78966
3955,None,33722
3959,132285,274161
3963,161118,158282
3975,122972,61215
3985,21447,172023
3987,43767,35389
3990,270884,131552
3992,None,199606
3994,147365,198263
4004,171424,61215
4005,223989,33722
4006,None,
4009,262042,131552
4011,69022,158282
4014,167261,17453
4018,294489,198263
4028,13020,176858
4030,180137,282464
4031,None,61215
4034,251727,9432
4036,26581,131552
4037,255855,287681
4041,212035,198263
4044,248923,33722
4063,207888,158282
4068,147365,198263
4069,16,216462
4071,69827,199606
4073,177476,208198
4099,269466,274088
4103,190842,61215
4108,None,98687
4110,140652,208198
4116,222236,131552
4117,126482,173467
4120,79500,158282
4124,3401,
4126,None,33722
4129,211082,61215
4133,246910,214765
4135,279595,158282
4139,151536,208198
4154,None,219193
4156,133773,35389
4161,191782,147886
4162,42310,268217
4163,11203,33204
4168,126878,146103
4175,294303,293670
4180,68148,158282
4181,237775,61215
4185,None,126500
4190,227644,199606
4191,184074,61215
4196,15279,131552
4198,286472,17453
4204,247247,131552
4207,294489,198263
4210,87795,33722
4213,253660,88853
4215,None,
4226,237425,158282
4233,287549,61215
4255,162906,287681
4258,146941,158282
4261,64666,214765
4266,195795,287681
4271,23699,
4272,None,82064
4277,30017,158282
4278,203524,173467
4283,26169,287681
4284,255700,34486
4292,165053,214765
4295,263065,198263
4312,210281,287681
4316,33963,155264
4318,166469,208198
4320,191782,147886
4322,127151,61215
4326,263587,34486
4327,1842,131552
4328,225970,35389
4358,289749,216462
4360,39540,75691
4361,72750,279143
4362,5360,146103
4363,229481,131552
4377,126654,201738
4384,154213,33204
4385,247955,131552
4388,264322,61215
4390,42149,61215
4396,248923,33722
4397,290547,131552
4399,151848,61215
4410,133835,131552
4428,251727,287681
4430,142811,281429
4435,144559,275144
4438,None,
4441,206970,274088
4444,52921,173467
4447,89704,158282
4448,48525,34486
4452,56111,61215
4466,39540,75691
4469,143616,224280
4477,200480,268304
4479,None,158282
4487,33832,35389
4489,278030,34486
4492,None,138304
4496,163551,61215
4507,79361,172023
4510,135958,61215
4517,224444,158282
4521,252290,158282
4530,147365,198263
4540,39540,75691
4544,148662,61215
4550,178777,33722
4552,31752,287681
4560,33269,61215
4564,29190,17453
4565,294229,99415
4566,230438,17453
4570,None,35389
4577,262766,33722
4580,17746,258600
4583,195225,214765
4587,148540,198263
4598,69893,212410
4612,81811,214765
4616,19963,61215
4623,211661,287681
4630,64548,287681
4635,None,198263
4644,54960,211809
4648,145475,155788
4661,169167,162234
4672,125408,216462
4678,None,
4699,198766,201738
4707,197325,33722
4713,125845,208198
4715,155077,173467
4721,28341,131552
4753,110654,61215
4759,177759,103715
4761,156106,158282
4764,240504,33204
4766,229001,287681
4768,210480,158282
4771,210281,287681
4773,105433,199606
4779,285743,17453
4788,292991,34486
4797,193779,186413
4806,None,287681
4811,245707,61215
4814,100987,158282
4816,244384,287681
4817,207288,124579
4826,127935,33722
4830,292702,172023
4846,None,198263
